date,feesUSD,tvlUSD,volumeUSD,txCount
2021-09-30,1877843.372674607370526311726088547,2607891111.378117330657040702786575,1195995155.641895959715356735731303,6149255
2021-10-01,2223443.541123405124731033588018522,2763329698.663362759287625044684484,1325668411.307641649094011107622185,6184687
2021-10-02,1889407.137466005049890428400786143,2800389402.07205434862396825555529,946526520.2105148563877434264772613,6219001
2021-10-03,1863413.825456988397017158991534551,2813218612.885318075376325161462994,955672124.8287847547506782202898418,6254001
2021-10-04,2442115.518177710115039378392124807,2791932341.902348658944718384378857,1218958320.433167510662136089979838,6286949
2021-10-05,2412471.538772978754818468532379118,2871230944.310563083250506507680062,1026660030.954908083790603029713334,6320275
2021-10-06,2824872.089395504721594780555104756,2901912638.039834577268699742471484,1497752701.094944536193922760323776,6354374
2021-10-07,3474512.740943765406193240943047295,2905252119.717250744804866782459114,1338465952.03715844312944236223917,6391951
2021-10-08,2797325.527835018880423515152442472,2952821936.347609909917192032828432,1105890644.533961213738867076394831,6424046
2021-10-09,2111954.951418565386931829998193219,2959327240.268587488355661544098644,740609774.4418820602378147498360407,6458161
2021-10-10,2275524.011813583512217034871965077,2889276795.441876660401259917403306,1117405381.164877654083963418262339,6493205
2021-10-11,3247160.768179770103570749507398321,2933244450.823792603549757858653657,1481091965.202900363041011318621029,6535403
2021-10-12,2712552.955615917555031512742837989,2912913830.473298313634328966588934,1492403552.174978079710130790201483,6576802
2021-10-13,2436698.686260953902259573608592656,2968865605.598989129608118267112191,1297703607.156375280724029901817102,6614307
2021-10-14,2559253.457106191696620867229043458,3034520062.325809612878182641355525,1345938762.686595218271337953983336,6648710
2021-10-15,3647114.64805157439803221745105851,3130322112.758637169199374962196941,1887808809.965753199771438996799641,6688863
2021-10-16,2305561.44394329540585496732060101,3134902918.555211673551676451890194,1348592165.628679486670756494483998,6723731
2021-10-17,2359507.667809501918897130209085999,3213752192.513356721419126799170276,1188092243.499597250197688135987289,6759647
2021-10-18,2517346.700539476228931328335765169,3186024301.878002986686394157808545,1391542227.8557495298782320767601,6796073
2021-10-19,2369690.782342332937332671649705988,3288743770.67169052709219374124402,1470894732.329549990769824808890522,6834524
2021-10-20,3000809.875132495259197302194670335,3458279883.556351606140962460126589,1642662941.241914139570358477162018,6877239
2021-10-21,4127239.987512213653463171396275343,3429478998.125667867145799768357069,2607839791.245731587878173437159857,6919844
2021-10-22,2920817.914768722033940355855961048,3368506493.566099546373810023148359,1718241726.279111817134214401042695,6956650
2021-10-23,2248941.440125166736225023572075447,3458293772.409474039275099812678119,1292078559.613555243077091007198999,6992734
2021-10-24,2395163.799611901598576624874457298,3443447735.22602127272050991782306,1209079558.075990527879486618094609,7029714
2021-10-25,2194318.182954051513357121773306474,3543817379.412662210377406426980559,1213817513.282023604649983999386553,7066769
2021-10-26,3353723.412844150877070133222821321,3467016574.827309327963411105289847,1785302660.836400914667025706624609,7106207
2021-10-27,5139312.143164852412640748082726627,3416568103.492177554011802369832017,2501445810.871915360652014228224651,7149490
2021-10-28,4626848.230555436162351997063912714,3557183989.491285515774348944789694,2247458561.86611403860052868216326,7190486
2021-10-29,3102235.600593184750821643093035341,3618222333.786843017978390155905804,1659133551.5508071006825196462875,7226710
2021-10-30,2634934.284383399065465259154722411,3613486215.0239901735200127716661,1206455863.46615501626759732061173,7265535
2021-10-31,2613194.930761467210972298108776582,3623348782.349269521965988565255205,1278068908.354761453862615658058053,7307877
2021-11-01,2498930.304286607312404188412122353,3654954035.483946510969317413534373,1333385119.184617241119291177245409,7345052
2021-11-02,3408324.549165818206246006541034292,3809415121.664828646829670442811836,1651353582.562827870731010652143622,7388447
2021-11-03,3633288.490640229236633241625766904,3841438101.605000348945553882921593,1729024423.391854357998863200574838,7434100
2021-11-04,3500019.005086474587409254907610128,3743089535.385215915703317256820105,1553661563.921681420951725365525321,7479393
2021-11-05,2556216.078707521550500963838482705,3742642952.497929843312313365036074,1155186843.745040682413085822777447,7519170
2021-11-06,2620349.788756518618157231322338914,3815999117.375168860798939327761131,1176935133.318189885437200053738269,7559550
2021-11-07,2591718.088117689263501538852174952,3939288593.769206889617834720339533,1088532554.697220109714817451039432,7602916
2021-11-08,3278545.321213053939236615596228994,4064323912.902701427788051013736158,1672402780.529270240865169204910312,7646285
2021-11-09,5203706.365676251789506668740152341,4040147770.834793674809368438266291,1749877746.925757401610267484828035,7704209
2021-11-10,6219522.120926413190593266686178559,4010961069.955054482308933177654069,3150260765.408616672593540567568541,7757899
2021-11-11,3796446.666818825530711609498392632,4088390771.039356353258762604371558,1868944836.799808399189202251792592,7799595
2021-11-12,3807024.647852585225129105798998955,4078501192.388717330902858512132654,2161727965.706404303490459652604371,7838294
2021-11-13,2240214.811019555107456282617483662,4086231335.779261845586733306203892,1136818064.423594906730593241343813,7874844
2021-11-14,2168655.629626610054242556296035324,4097214589.782933174072362615624861,1297631617.244204192563188836949583,7909734
2021-11-15,3734722.758783747182829808872493938,4061291780.76634758246761739368412,1690920447.042613965117829710722484,7951504
2021-11-16,4716808.492201183198118260259108287,3894202902.605078450048236385425032,3004153138.936074903156753612607375,7996769
2021-11-17,3321727.154102891810314743759610733,4064215748.604655210705495533661582,2207599373.319843242642952461312755,8039371
2021-11-18,4146395.052025734321996153424633599,3871459676.400404904300505249088209,2805508416.858585043149208527071379,8088139
2021-11-19,3301571.331041933646884276723171237,4138681589.957725389837930165649652,2022192860.336223443170084343056534,8133678
2021-11-20,3284212.65538402977249170897464468,4246679817.951385220769126526244501,1541029298.364523241058403294433734,8182192
2021-11-21,3221697.275948757634620340165028065,4164246065.496851031807688895044601,1587762304.362027015471770995065251,8228380
2021-11-22,4042611.028257646953923115859016813,4074437488.687322382116511115472315,2577115919.573682175072861184570045,8274245
2021-11-23,3903391.868110571476813125315317296,4238672855.62056622041644195721623,2269169664.260982769868523583550647,8317962
2021-11-24,4231618.747523181502626080026177807,4218180529.876056361358349888817867,2257599357.886606515165088803086793,8368988
2021-11-25,4753738.096813359724705231287397887,4376764127.758102029366016915634857,2119292244.557552094161931617058338,8426319
2021-11-26,6048957.980012371222614420264406283,3950207313.625053992700718446765708,3633589528.080928813938494238975534,8489577
2021-11-27,4496057.27119553286999122341275941,4079950894.291228235251787006879875,1720266530.880545517363244807143982,8546597
2021-11-28,4108589.607392562200595372234315513,4126223717.16122944852436047488325,2064856124.709228813736645918466015,8595453
2021-11-29,3737820.35539363245397109627652169,4298851444.855555307270041992946608,1998509349.133939583991602412278538,8639462
2021-11-30,5209206.111713261355227248084755364,4298883111.356393227126625000237585,3403880067.924535586537783637413388,8684970
2021-12-01,4767812.07628158639685033361841458,4331742853.595012338247247197899999,2536581538.222832024746288928585945,8725437
2021-12-02,4527394.663479665649043362767799875,4336601079.741802379722045485837304,2635058887.650327434670377325491402,8770834
2021-12-03,5104054.531632169368238830070404572,4275004966.645923055044476599851762,3297829959.708739053794088221262821,8818987
2021-12-04,7791025.753425162088311971265813271,4193117374.974822138657158938142232,4813778044.103200655159278257104634,8874452
2021-12-05,4314631.900665357842659709268555104,4169973191.590782377780320123615916,2949468751.565651192732295792766327,8918103
